Epoch Time,Processing Source,Mean Barometric Pressure (hPa),Latitude (deg),Longitude (deg)
1782691200,hdr,1014.39,43.4375955,-70.3494197
1782691500,hdr,1014.42,43.437595,-70.34942
1782691800,hdr,1014.25,43.4376067,-70.3494298
1782692100,hdr,1014.14,43.437605,-70.3494397
1782692400,hdr,1014.2,43.4376033,-70.3494407
1782692400,embedded,1014.1,43.4376,-70.3494333
1782692700,hdr,1014.33,43.4376058,-70.3494575
1782693000,hdr,1014.44,43.4375953,-70.3494742
1782693300,hdr,1014.5,43.4375968,-70.3494717
1782693600,hdr,1014.42,43.437598,-70.3494853
1782693900,hdr,1014.41,43.4375873,-70.349494
1782694200,hdr,1014.5,43.4375878,-70.349509
1782694500,hdr,1014.59,43.4375823,-70.3495215
1782694800,hdr,1014.7,43.4375793,-70.3495187
1782695100,hdr,1014.86,43.4375635,-70.349527
1782695400,hdr,1015.33,43.4374995,-70.3496363
1782695700,hdr,1015.15,43.4375135,-70.3496105
1782696000,embedded,1014.7,43.43755,-70.3495667
1782696000,hdr,1014.88,43.437552,-70.3495875
1782696300,hdr,1015.5,43.437514,-70.349621
1782696600,hdr,1015.72,43.4375013,-70.349624
1782696900,hdr,1015.39,43.4375437,-70.3496047
1782697200,hdr,1015.49,43.4375347,-70.3496077
1782697500,hdr,1015.7,43.4374952,-70.3496488
1782697800,hdr,1015.44,43.4375263,-70.3496317
1782698100,hdr,1015.2,43.4375585,-70.3496092
1782698400,hdr,1015.32,43.4375612,-70.3495975
1782698700,hdr,1015.65,43.4375423,-70.3496197
1782699000,hdr,1015.74,43.437513,-70.3496525
1782699300,hdr,1015.5,43.4375287,-70.349626
1782699600,hdr,1015.49,43.4375463,-70.3496205
1782699600,embedded,1015.5,43.4375333,-70.3496167
1782699900,hdr,1015.71,43.4375358,-70.3496147
1782700200,hdr,1015.9,43.4375472,-70.3496053
1782700500,hdr,1015.88,43.4375447,-70.3495927
1782700800,hdr,1015.81,43.4375338,-70.3496033
1782701100,hdr,1015.81,43.43752,-70.3496193
1782701400,hdr,1015.74,43.4375298,-70.3496187
1782701700,hdr,1015.8,43.4375393,-70.3496182
1782702000,hdr,1015.93,43.4375428,-70.3496167
1782702300,hdr,1015.87,43.4375502,-70.3496135
1782702600,hdr,1015.65,43.437595,-70.349601
1782702900,hdr,1015.48,43.437574,-70.349592
1782703200,hdr,1015.45,43.4375822,-70.3495653
1782703200,embedded,1015.8000000000001,43.4375667,-70.3495667
1782703500,hdr,1015.51,43.4376022,-70.3495563
1782703800,hdr,1015.58,43.4375942,-70.349527
1782704100,hdr,1015.55,43.4375957,-70.3495315
1782704400,hdr,1015.47,43.4376028,-70.3495313
1782704700,hdr,1015.38,43.4376055,-70.3495413
1782705000,hdr,1015.44,43.4376143,-70.3495415
1782705300,hdr,1015.44,43.4376135,-70.3495483
1782705600,hdr,1015.46,43.4376187,-70.3495488
1782705900,hdr,1015.36,43.437622,-70.3495455
1782706200,hdr,1015.16,43.4376212,-70.3495397
1782706500,hdr,1014.95,43.4376242,-70.3495105
1782706800,embedded,1015.4,43.4376,-70.3495167
1782706800,hdr,1014.93,43.4376193,-70.3495228
1782707100,hdr,1015.04,43.437613,-70.3495253
1782707400,hdr,1015.15,43.4375847,-70.3494957
1782707700,hdr,1015.16,43.4375735,-70.3494542
1782708000,hdr,1015.12,43.437552,-70.3494565
1782708300,hdr,1015.07,43.4375297,-70.3494343
1782708600,hdr,1015.34,43.43745,-70.349415
1782708900,hdr,1015.42,43.437423,-70.349437
1782709200,hdr,1015.51,43.4374217,-70.3494592
1782709500,hdr,1015.56,43.4374125,-70.349451
1782709800,hdr,1015.45,43.4374132,-70.349445
1782710100,hdr,1015.38,43.4374057,-70.3494342
1782710400,hdr,1015.39,43.4374042,-70.3494377
1782710400,embedded,1015.3000000000001,43.4374,-70.3494167
1782710700,hdr,1015.49,43.4374102,-70.3494413
1782711000,hdr,1015.56,43.4374097,-70.3494563
1782711300,hdr,1015.57,43.437411,-70.3494492
1782711600,hdr,1015.39,43.4374165,-70.3494432
1782711900,hdr,1015.31,43.4374135,-70.3494313
1782712200,hdr,1015.33,43.4374217,-70.3494167
1782712500,hdr,1015.43,43.4374275,-70.3493962
1782712800,hdr,1015.49,43.4374333,-70.3493892
1782713100,hdr,1015.56,43.4374372,-70.3493857
1782713400,hdr,1015.44,43.4374443,-70.3493773
1782713700,hdr,1015.4,43.4374472,-70.3493793
1782714000,hdr,1015.46,43.4374487,-70.3493692
1782714000,embedded,1015.5,43.4374333,-70.3493667
1782714300,hdr,1015.48,43.4374415,-70.3493735
1782714600,hdr,1015.56,43.4374385,-70.3493815
1782714900,hdr,1015.64,43.4374363,-70.349379
1782715200,hdr,1015.64,43.437428,-70.3493853
1782715500,hdr,1015.62,43.4374302,-70.3493832
1782715800,hdr,1015.62,43.4374322,-70.3493807
1782716100,hdr,1015.75,43.437428,-70.3493787
1782716400,hdr,1015.88,43.4374237,-70.3493757
1782716700,hdr,1015.94,43.4374262,-70.3493793
1782717000,hdr,1015.87,43.4374268,-70.3493752
1782717300,hdr,1015.75,43.4374332,-70.3493732
1782717600,embedded,1015.7,43.4374167,-70.3493667
1782717600,hdr,1015.79,43.4374348,-70.3493745
1782717900,hdr,1015.86,43.437435,-70.3493762
1782718200,hdr,1015.95,43.4374447,-70.34937
1782718500,hdr,1016.04,43.4374447,-70.3493725
1782718800,hdr,1016.03,43.4374518,-70.3493637
1782719100,hdr,1016.0,43.4374565,-70.3493658
1782719400,hdr,1015.94,43.4374597,-70.3493653
1782719700,hdr,1015.96,43.437467,-70.3493628
1782720000,hdr,1016.14,43.4374725,-70.3493635
1782720300,hdr,1016.26,43.4374707,-70.3493628
1782720600,hdr,1016.13,43.437477,-70.3493637
1782720900,hdr,1016.06,43.4374727,-70.3493685
1782721200,hdr,1016.09,43.437473,-70.3493722
1782721200,embedded,1016.0,43.43745,-70.34935
1782721500,hdr,1016.17,43.4374873,-70.3493718
1782721800,hdr,1016.18,43.4374798,-70.3493787
1782722100,hdr,1016.18,43.4374733,-70.3493845
1782722400,hdr,1016.2,43.4374628,-70.3493887
1782722700,hdr,1016.14,43.4374643,-70.3493923
1782723000,hdr,1016.14,43.4374643,-70.3493947
1782723300,hdr,1016.25,43.4374638,-70.3493947
1782723600,hdr,1016.28,43.4374663,-70.349387
1782723900,hdr,1016.26,43.4374565,-70.3493847
1782724200,hdr,1016.16,43.4374588,-70.3493955
1782724500,hdr,1016.19,43.4374498,-70.3494025
1782724800,hdr,1016.23,43.4374523,-70.3494133
1782724800,embedded,1016.2,43.43745,-70.3494
1782725100,hdr,1016.31,43.4374538,-70.349415
1782725400,hdr,1016.46,43.4374453,-70.3494217
1782725700,hdr,1016.5,43.4374495,-70.3494275
1782726000,hdr,1016.45,43.4374458,-70.3494253
1782726300,hdr,1016.34,43.4374393,-70.3494318
1782726600,hdr,1016.34,43.4374332,-70.3494285
1782726900,hdr,1016.4,43.4374247,-70.3494352
1782727200,hdr,1016.58,43.4374227,-70.3494447
1782727500,hdr,1016.59,43.4374175,-70.3494507
1782727800,hdr,1016.41,43.4374148,-70.3494582
1782728100,hdr,1016.37,43.4374178,-70.3494818
1782728400,embedded,1016.5,43.4374333,-70.3494833
1782728400,hdr,1016.66,43.4374175,-70.349502
1782728700,hdr,1017.04,43.4374065,-70.349499
1782729000,hdr,1017.08,43.4373913,-70.3495103
1782729300,hdr,1017.06,43.4373945,-70.3495022
