Epoch Time,Processing Source,f,varianceDensity
1779667200,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.0039649279999999995;0.01012224;0.007360512;0.01257984;0.013563904;0.00941056;0.021821439999999998;0.046727168;0.055955456;0.079307776;0.056811520000000004;0.028310528;0.025938944;0.06205337599999999;0.164534272;0.21812326399999998;0.211678208;0.29750272000000005;0.373880832;0.34350284799999997;0.24054783999999999;0.23067750399999998;0.116907008;0.09658572800000001;0.06841343999999999;0.051055616000000005;0.045501440000000004;0.05154918399999999;0.05918617600000001;0.05656064;0.032524288;0.045065216;0.03100672;0.04432281600000001;0.047297536;0.035190784;0.027518975999999997;0.015250432000000001;0.0184832;0.029349887999999998;0.019582976;0.00669184;0.010489856;0.022061056;0.016268288;0.013650944000000002;0.009938944;0.008111104;0.008981504;0.009999359999999999;0.006601727999999999;0.006663168;0.004804608;0.0043806719999999995;0.005520384;0.006248447999999999;0.006589439999999999;0.004135936;0.002748416;0.003912704;0.0026419199999999994;0.002348032;0.0015984640000000002;0.0027013120000000004;0.002546688;0.0025088;0.0031467520000000005;0.0023173119999999998;0.001847296;0.002115584;0.002871296;0.002013184;0.001591296;0.0018216959999999998;0.002276352;0.00082432;0.0007936;0.001238016;0.0012953600000000002
1779668100,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.005676032;0.012197888;0.018412544000000003;0.017347584000000003;0.014659584000000002;0.012327936;0.015583232;0.034993152;0.075140096;0.049166336000000005;0.04469248000000001;0.026049536;0.041457664000000005;0.07879987199999999;0.110710784;0.167711744;0.25277235200000003;0.257680384;0.221799424;0.20381388799999997;0.158178304;0.16538009600000003;0.127132672;0.064616448;0.062516224;0.06333952;0.090793984;0.089058304;0.061449216;0.051037184;0.044076032;0.048089087999999995;0.048058368000000004;0.03874304;0.024551424;0.025816064000000003;0.030317568000000003;0.028284928;0.021751808;0.017488896;0.015353855999999999;0.014734336;0.011569152;0.010939392;0.013950976;0.010650624;0.0076994559999999995;0.010734592;0.006921216;0.006525952;0.006611968;0.0042659840000000004;0.003447808;0.005718016;0.004287487999999999;0.002373632;0.003575808;0.00422912;0.004230144;0.00249856;0.0030443519999999997;0.003966976;0.0046469120000000004;0.003377152;0.003606528;0.002798592;0.0028426239999999998;0.0027822079999999996;0.0020951040000000004;0.0013701120000000002;0.001430528;0.0014213119999999999;0.00143872;0.001619968;0.001696768;0.0020224;0.002904064;0.0021207039999999997;0.0018442240000000002
1779669000,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.007037951999999999;0.015562752000000001;0.022775808;0.022071295999999997;0.017381376;0.017644543999999998;0.031998976;0.041598976;0.065369088;0.04332236799999999;0.022602752;0.032851968;0.033913856;0.047772671999999995;0.077285376;0.155195392;0.17972223999999998;0.22349721600000003;0.255936512;0.266707968;0.25940070400000004;0.126726144;0.106126336;0.112058368;0.117684224;0.053703680000000004;0.07611494399999999;0.122452992;0.07912652799999999;0.050507776;0.036619264000000006;0.037337088000000004;0.032142336;0.030073856;0.027977728;0.03272704;0.035263488;0.024815616;0.021902335999999998;0.02568704;0.030601216;0.021025791999999998;0.019178496;0.012079103999999998;0.013328384;0.01168896;0.013854720000000001;0.009276416;0.0075673599999999995;0.007865344;0.006370304;0.006763519999999999;0.003944448;0.004455424;0.0049807359999999995;0.0050350080000000005;0.0038911999999999996;0.004376576;0.004277248000000001;0.005115903999999999;0.003542016;0.002315264;0.002883584;0.0035205120000000004;0.003027968;0.001985536;0.002231296;0.002679808;0.002151424;0.001743872;0.001477632;0.0017377279999999998;0.001627136;0.002364416;0.001998848;0.0018831359999999999;0.0013660159999999998;0.00083968;0.001371136
1779669900,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.011136;0.030736384000000002;0.026505216;0.029838336000000003;0.01903616;0.014260223999999998;0.0159232;0.034886656;0.051504128;0.051211264;0.025872384000000002;0.033999872;0.043552768000000006;0.07547494399999999;0.16775168;0.269533184;0.21835776;0.220428288;0.222088192;0.23532646399999999;0.1444096;0.128900096;0.112811008;0.06653951999999999;0.084601856;0.110624768;0.11515904;0.08054067200000001;0.058587136;0.049753087999999994;0.05981184;0.048507904000000004;0.029245439999999998;0.031588352;0.036318208;0.029215744000000002;0.027812864000000003;0.027037696;0.018644992;0.009735167999999999;0.011802624;0.011219967999999999;0.015691776;0.013942784;0.015453184000000002;0.013401088;0.008005632;0.007219199999999999;0.006404096000000001;0.008278016;0.007092224;0.0050176;0.007624704;0.005628928;0.006373376;0.010181632;0.006572032;0.0048015359999999995;0.004110336;0.004176895999999999;0.005064704;0.004375552;0.002855936;0.004503552;0.004025343999999999;0.002863104;0.0027566080000000002;0.0023930880000000002;0.003180544;0.002185216;0.002371584;0.002428928;0.002260992;0.002251776;0.0022558720000000003;0.001052672;0.001799168;0.002989056;0.002149376
1779670800,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.016336896;0.022503423999999998;0.021442560000000003;0.029146112;0.020512768;0.019001344;0.026067968;0.047437824;0.06737408;0.068703232;0.034295808000000004;0.027721727999999998;0.045408256;0.050390016;0.06614937600000001;0.10429132799999999;0.175668224;0.22781235200000002;0.180827136;0.17312768;0.128151552;0.116611072;0.14458265599999998;0.090740736;0.06864896000000001;0.0859392;0.092715008;0.08640409599999999;0.04876902400000001;0.057895936;0.069807104;0.042186752;0.03711283199999999;0.032424959999999996;0.034562048;0.041111552;0.027194368000000003;0.021364736000000002;0.024141824;0.024928256000000003;0.022003711999999998;0.015505408;0.019238912;0.015463424;0.009479168;0.006644736;0.006588415999999999;0.007857152;0.007780352;0.0073154560000000006;0.007084032;0.006972416;0.007478272;0.007762944000000001;0.005177344;0.004944896;0.0030453760000000002;0.003390464;0.005255168;0.005142528;0.004174848;0.0036270079999999997;0.004077568;0.005204992;0.0033638400000000003;0.003810304;0.00301568;0.002379776;0.001688576;0.001876992;0.0015144960000000002;0.0020398079999999997;0.0023511039999999997;0.0020592640000000003;0.0018042879999999998;0.002419712;0.0015544320000000001;0.0009605120000000001;0.001048576
1779671700,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.004141056;0.012858368;0.011082751999999998;0.00706048;0.011782144;0.018103296;0.019656704;0.041926656;0.06494208;0.053372928;0.021607424000000004;0.018341888000000004;0.027742208;0.061390848;0.11063808;0.18400256;0.19497267199999999;0.23635968;0.28920319999999994;0.268760064;0.23449292800000002;0.208940032;0.13878784;0.071711744;0.07054540799999999;0.066105344;0.05672448;0.049251328000000004;0.069549056;0.06739558400000001;0.058642432;0.046737408;0.042993664;0.038786048000000004;0.042773504000000004;0.028973056;0.024836096000000002;0.025484288;0.029694975999999998;0.025048064;0.016692224;0.012886016;0.010284031999999999;0.017035264;0.012051456;0.015668224;0.014885887999999998;0.011055104;0.010648576000000002;0.010034176;0.009663488;0.008516608;0.009294848;0.007166975999999999;0.007087104;0.0066816;0.006836223999999999;0.007371776;0.00459776;0.002768896;0.0035276800000000005;0.004128768;0.004641792;0.0039874559999999995;0.003560448;0.0037550080000000002;0.0031784960000000003;0.002213888;0.002881536;0.0027811840000000003;0.002117632;0.002459648;0.00396288;0.002404352;0.0018288640000000001;0.0014991359999999999;0.0011755519999999998;0.001092608;0.001446912
1779672600,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.004673536;0.011531264000000001;0.01357824;0.016744447999999995;0.022811648;0.023605248;0.029073408;0.047153152000000004;0.048182272;0.034418688;0.02496;0.03665100799999999;0.045493248;0.046194688000000005;0.085583872;0.173111296;0.363493376;0.384899072;0.249017344;0.22059315200000001;0.162413568;0.140894208;0.109765632;0.14435737599999998;0.13523251200000003;0.060469247999999996;0.060865536;0.063214592;0.09073254400000001;0.06533939200000001;0.06444032;0.067520512;0.04118937600000001;0.042554367999999995;0.030500864000000003;0.024361984;0.030324736;0.024216576;0.023365632;0.015765504;0.024310784000000002;0.024641536;0.027295744;0.017295359999999996;0.019692544000000003;0.018586624;0.012486656;0.007064576;0.00626176;0.009650176;0.010790912;0.0107008;0.008731648;0.008112128000000001;0.007598080000000001;0.005767168;0.0043335679999999994;0.005129216000000001;0.006956032;0.007412736;0.006157312;0.00741888;0.005525504;0.004424704000000001;0.003710976;0.003072;0.003591168;0.0030986240000000003;0.004408319999999999;0.002551808;0.0025118719999999996;0.00282112;0.0021227520000000003;0.00167424;0.0023552;0.002905088;0.001687552;0.001790976;0.001457152
1779673500,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.0059340799999999996;0.013466624;0.018100224;0.01879552;0.013386752;0.020943872;0.030605312000000003;0.04575232;0.063154176;0.080441344;0.048080896;0.04079820800000001;0.0465152;0.047117312;0.10047590399999999;0.22989824;0.404514816;0.368013312;0.22258688000000001;0.238707712;0.16397004799999998;0.15237017599999997;0.120249344;0.103089152;0.132524032;0.120296448;0.081145856;0.07038054399999999;0.048125952;0.07309004799999999;0.106314752;0.081444864;0.063905792;0.066473984;0.044271616;0.037068800000000006;0.028874752;0.017466368;0.018874368000000002;0.027418624;0.017530880000000002;0.020033536;0.016602112000000002;0.015604736000000001;0.011588608;0.012766208000000001;0.009124864000000002;0.010336256000000002;0.010345472;0.01284096;0.00876032;0.005751808;0.00516608;0.007131136;0.009464832000000001;0.007017471999999999;0.004974592000000001;0.005869568;0.003731456;0.003864576;0.00605184;0.004481023999999999;0.005031936;0.005321728;0.0063774719999999995;0.005250047999999999;0.003099648;0.0024739840000000003;0.001968128;0.002204672;0.001348608;0.00213504;0.0027217920000000002;0.0023265280000000004;0.0020500479999999996;0.001687552;0.001381376;0.0014274560000000001;0.001486848
1779674400,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.010656768;0.022240255999999996;0.018772992;0.013490176;0.00873472;0.010656768;0.01599488;0.050890752;0.066644992;0.04897792;0.035090432;0.020235264;0.026559488000000003;0.047345663999999996;0.098516992;0.127910912;0.31819468799999995;0.30398361599999996;0.19470336000000002;0.12792831999999998;0.19145728;0.12276633599999999;0.08545791999999999;0.111599616;0.09811456;0.077836288;0.069974016;0.079338496;0.087212032;0.08538931200000001;0.084313088;0.07191347199999999;0.08111513600000002;0.056846336000000004;0.032539648000000004;0.041064447999999996;0.039741439999999996;0.023192575999999996;0.019699712000000005;0.023333888000000004;0.019938304;0.019475456000000002;0.014480384;0.013872128000000001;0.013106175999999999;0.010979328000000002;0.012983295999999998;0.008846336000000002;0.0122368;0.014723072;0.010714112000000001;0.009780224;0.007488512;0.0051722240000000004;0.0069601279999999995;0.005916672;0.004852736;0.0042065919999999994;0.0044052480000000005;0.006605824000000001;0.0059136;0.00489984;0.00364544;0.002465792;0.003439616;0.003971072;0.0045322240000000005;0.0030289920000000003;0.002157568;0.002787328;0.0021944319999999996;0.0021268479999999998;0.0026327039999999996;0.001979392;0.00128;0.0016906239999999997;0.0021248;0.001601536;0.001488896
1779675300,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.004864;0.0069375999999999995;0.013796352000000001;0.012954624000000001;0.011092992;0.016415744;0.024629248;0.036291584;0.057663488;0.04990464;0.031294464;0.020228096;0.023407616000000003;0.043246592;0.10104627199999999;0.174820352;0.324822016;0.36531507199999996;0.256929792;0.215510016;0.15885619199999998;0.162362368;0.135755776;0.10895974400000001;0.108430336;0.098076672;0.075168768;0.054265856;0.07176908800000001;0.083388416;0.08162304000000001;0.044582912;0.037204992;0.054329343999999995;0.044959743999999996;0.035697664000000004;0.037223424;0.03019264;0.021974016;0.018988032;0.017718271999999997;0.0177664;0.012500992;0.0137728;0.011283456;0.01019392;0.014051328;0.01199616;0.005756928;0.006874112;0.011109375999999999;0.008332288;0.0076994559999999995;0.006854656;0.004583424;0.005475328000000001;0.005942272;0.0046766080000000005;0.005168128000000001;0.002688;0.0035706880000000002;0.0046049279999999995;0.00427008;0.003985408;0.002956288;0.0029655040000000003;0.004067328;0.00548352;0.0029429759999999995;0.0020500479999999996;0.0018196479999999999;0.002139136;0.0026060799999999998;0.0023111679999999997;0.0021032959999999997;0.0028057599999999996;0.0024954879999999997;0.001288192;0.001364992
