Epoch Time,Processing Source,Latitude (deg),Longitude (deg),Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Wind Speed (m/s),Wind Direction (deg),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg)
1770237000,hdr,43.4594458,-70.3822157,1.625,20.479,10.918,71.094,66.319,58.698,65.216,2.29,57,0.029296875,0.126953125,1.434,15.654,58.1,67.912,0.126953125,0.80078125,0.762,5.272,59.803,55.756
1770237900,embedded,43.4595,-70.3824167,0.96,25.6,12.42,88.272,71.246,73.98,72.227,0.8,57,,,,,,,,,,,,
1770239700,embedded,43.4595167,-70.3823167,0.31,20.48,10.86,122.437,75.842,165.964,78.372,0.0,177.0,,,,,,,,,,,,
1770240600,hdr,43.4592087,-70.3814472,8.625,25.602,18.376,93.87,64.416,92.887,64.508,8.47,92.0,0.029296875,0.126953125,8.501,19.621,92.562,65.0,0.126953125,0.80078125,1.444,5.744,94.148,55.15
1770241378,hdr,43.442886,-70.173276,14.815,20.479,22.417,121.118,64.393,108.322,65.889,11.65,121.0,0.029296875,0.126953125,14.752,22.924,106.788,66.196,0.126953125,0.80078125,1.325,5.997,103.197,43.53
1770244200,hdr,43.4595288,-70.382176,,,,,,,,9.87,182.0,0.029296875,0.126953125,17.515,24.345,185.036,57.49,0.126953125,0.80078125,1.047,6.173,186.633,57.566
1770245096,hdr,43.4592273,-70.3807885,14.137,25.602,22.229,134.975,64.059,139.799,66.386,7.14,134.0,0.029296875,0.126953125,14.081,22.73,139.955,67.206,0.126953125,0.80078125,1.224,5.672,198.417,75.602
1770245400,embedded,43.4591833,-70.38225,20.39,25.6,23.7,164.801,50.747,167.832,51.947,13.2,165.0,,,,,,,,,,,,
1770247200,embedded,43.4593833,-70.3822167,7.28,25.6,18.16,142.041,55.878,145.516,59.011,7.6,160.0,,,,,,,,,,,,
1770249000,embedded,43.4603167,-70.3823833,,,,,,,,4.8,51.0,,,,,,,,,,,,
1770249599,hdr,43.4593603,-70.3823632,,,,,,,,6.2,13.0,0.029296875,0.126953125,12.169,23.597,45.795,78.06,0.126953125,0.80078125,1.012,5.734,139.533,72.637
