Epoch Time,Processing Source,Latitude (deg),Longitude (deg),Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Wind Speed (m/s),Wind Direction (deg)
1778113200,embedded,43.4376333,-70.3494167,1.33,7.32,4.7,161.247,26.765,163.383,38.06,8.8,171
1778115000,embedded,43.4376167,-70.3493833,1.24,6.82,4.7,162.445,31.814,163.076,41.417,8.0,182
1778116800,embedded,43.4376167,-70.3494,1.27,6.82,4.86,158.5,30.154,160.023,37.909,7.6,177
1778118600,embedded,43.4376,-70.3494333,1.16,6.82,4.58,160.972,35.64,160.193,41.664,8.0,171
1778120400,embedded,43.4376167,-70.3494333,1.13,6.82,4.66,159.59,35.572,161.493,41.388,6.8,177
1778122200,embedded,43.4375667,-70.3493667,1.22,6.82,4.76,158.399,33.559,160.933,39.937,7.6,182
1778124000,embedded,43.4375667,-70.34935,1.22,6.02,4.8,161.379,30.621,160.489,41.279,6.8,188
1778125800,embedded,43.43755,-70.3493667,1.13,6.82,4.62,150.524,36.183,158.341,42.027,7.2,188
1778127600,embedded,43.4375167,-70.3494333,1.19,6.4,4.8,158.939,32.082,160.977,40.291,6.8,160
1778129400,embedded,43.4374667,-70.3494,1.15,6.4,4.78,166.81,34.543,164.959,39.933,6.0,171
1778131200,embedded,43.4374,-70.3494667,1.07,6.4,4.76,164.393,36.623,161.471,40.47,6.8,165
1778133000,embedded,43.4374,-70.3494167,1.01,6.82,4.82,153.103,33.434,159.575,40.684,4.8,160
1778134800,embedded,43.4374,-70.34945,1.03,6.02,4.86,153.763,32.388,157.523,40.167,4.8,160
1778136600,embedded,43.4373833,-70.3494667,0.99,6.82,4.94,148.503,33.521,158.769,40.699,4.4,171
1778138400,embedded,43.4373833,-70.3494833,1.01,5.12,4.92,159.487,24.011,157.347,38.944,4.8,160
1778140200,embedded,43.4373833,-70.3494833,0.99,6.4,5.0,154.679,31.832,158.445,39.618,4.0,165
1778142000,embedded,43.4373833,-70.3494667,0.99,6.82,5.1,157.304,37.093,160.145,40.652,4.0,154
1778143800,embedded,43.4373667,-70.34945,0.97,6.82,4.98,154.213,38.608,159.51,45.131,4.4,177
1778145600,embedded,43.4373667,-70.34945,0.91,6.4,5.06,159.239,38.91,160.797,46.64,3.2,165
1778147400,embedded,43.4373833,-70.3494167,0.86,6.4,5.0,154.66,34.599,164.033,43.582,3.6,177
1778149200,embedded,43.4373833,-70.3494333,0.78,6.02,4.82,156.954,34.47,161.615,43.422,3.2,194
1778151000,embedded,43.4373833,-70.3494,0.87,6.82,5.04,167.654,39.405,163.875,42.215,3.6,171
1778152800,embedded,43.4373833,-70.3494,0.81,6.82,4.9,154.136,37.439,159.139,42.09,3.2,165
1778154600,embedded,43.4374,-70.3494167,0.78,6.82,4.9,150.273,36.913,156.417,39.301,3.2,160
1778156400,embedded,43.4374,-70.3494167,0.72,6.82,4.8,160.438,34.619,158.559,38.161,2.8,160
1778158200,embedded,43.4373833,-70.3494167,0.72,6.82,4.78,155.11,27.768,157.787,37.705,2.8,160
1778160000,embedded,43.4374,-70.3494167,0.72,6.82,4.82,152.574,25.371,157.707,35.874,2.4,188
1778161800,embedded,43.4374667,-70.3493667,0.68,6.82,4.72,154.754,21.358,157.777,34.932,2.8,165
1778163600,embedded,43.4375833,-70.3496333,0.67,6.4,4.88,149.735,22.736,154.784,36.375,2.0,160
1778165400,embedded,43.4376167,-70.3496,0.62,6.4,4.82,150.767,27.751,152.518,39.306,2.0,217
1778167200,embedded,43.4376167,-70.3496,0.63,6.82,4.9,155.102,30.667,155.605,40.493,2.0,205
1778169000,embedded,43.43765,-70.34955,0.63,6.4,4.34,152.363,34.603,155.859,44.18,5.2,200
1778170800,embedded,43.43765,-70.3495,0.65,6.02,4.1,158.021,34.367,160.537,46.419,6.0,194
1778172600,embedded,43.4376333,-70.3494833,0.63,6.4,4.32,153.926,39.275,158.909,46.287,5.6,200
1778174400,embedded,43.4375667,-70.3493333,0.61,6.4,4.34,148.836,42.9,157.979,47.095,5.2,188
1778176200,embedded,43.4374667,-70.3492833,0.59,6.02,4.5,153.376,31.536,157.158,47.264,4.4,177
1778178000,embedded,43.4374667,-70.3492833,0.55,5.68,4.52,162.198,35.124,163.678,50.462,4.0,177
1778179800,embedded,43.4374667,-70.3493,0.56,6.4,4.56,172.961,35.719,168.192,48.608,3.2,177
1778181600,embedded,43.4374833,-70.3493,0.54,6.82,4.64,170.737,37.708,168.002,50.822,2.8,177
1778183400,embedded,43.4374667,-70.3493,0.54,6.4,4.8,167.054,30.363,169.317,51.511,2.0,171
1778185200,embedded,43.4374667,-70.3493,0.52,6.4,4.76,168.056,38.063,166.737,53.601,2.0,188
