Epoch Time,Processing Source,Battery Voltage (V),Power (W),Humidity (%rel),Solar Voltage (V),Comm Source
1790278200,status,4.03,0,15.43,7.36,cellular
1790279100,status,4.04,0.12,15.05,7.22,cellular
1790281800,status,4.03,0,14.83,7.29,cellular
1790282700,status,4.03,0,15.12,7.25,cellular
1790291131,status,4.01,-0.71,19.2,0.89,cellular
1790299200,status,4.01,-0.27,23.2,0.11,cellular
1790321400,status,3.97,-0.16,27.88,0.1,cellular
1790343000,status,4.05,1.46,26.2,5.69,cellular
1790360400,status,4.04,0.1,21.6,7,cellular
1790373600,status,4.04,-0.04,23.55,5.61,cellular
