timestamp,sensorPosition,data_type_name,unit_type,units,value,latitude,longitude,configuration_checksum
2026-02-18T00:05:30.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,2.51,43.4375833,-70.3493833,0x429b27d9
2026-02-18T00:05:30.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,2.31,43.4375833,-70.3493833,0x429b27d9
2026-02-18T00:05:30.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,1.75,43.4375833,-70.3493833,0x429b27d9
2026-02-18T00:05:30.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.22,43.4375833,-70.3493833,0x429b27d9
2026-02-18T00:05:30.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,2.648,43.4375833,-70.3493833,0x429b27d9
2026-02-18T00:05:30.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.799,43.4375833,-70.3493833,0x429b27d9
2026-02-18T00:05:30.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.4375833,-70.3493833,0x429b27d9
2026-02-18T00:05:30.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.07,43.4375833,-70.3493833,0x429b27d9
2026-02-18T00:05:30.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,2.4800000000000004,43.4375833,-70.3493833,0x429b27d9
2026-02-18T00:35:30.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.16,43.4375667,-70.3494667,0x429b27d9
2026-02-18T00:35:30.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,2.51,43.4375667,-70.3494667,0x429b27d9
2026-02-18T00:35:30.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,2.68,43.4375667,-70.3494667,0x429b27d9
2026-02-18T00:35:30.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,1.57,43.4375667,-70.3494667,0x429b27d9
2026-02-18T00:35:30.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.07,43.4375667,-70.3494667,0x429b27d9
2026-02-18T00:35:30.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,3.166,43.4375667,-70.3494667,0x429b27d9
2026-02-18T00:35:30.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,1.018,43.4375667,-70.3494667,0x429b27d9
2026-02-18T00:35:30.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,2.4800000000000004,43.4375667,-70.3494667,0x429b27d9
2026-02-18T00:35:30.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:05:30.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,1.22,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:05:30.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.18,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:05:30.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,2.51,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:05:30.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,3.902,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:05:30.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,2.2800000000000002,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:05:30.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:05:30.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.748,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:05:30.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.08,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:05:30.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,2.4699999999999998,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:35:30.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.16,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:35:30.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,2.4800000000000004,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:35:30.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,0.75,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:35:30.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:35:30.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,1.56,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:35:30.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.07,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:35:30.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,2.4699999999999998,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:35:30.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,1.037,43.4375667,-70.3494667,0x429b27d9
2026-02-18T01:35:30.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,4.642,43.4375667,-70.3494667,0x429b27d9
2026-02-18T02:05:30.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,2.424,43.4375167,-70.3493833,0x429b27d9
2026-02-18T02:05:30.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,2.4699999999999998,43.4375167,-70.3493833,0x429b27d9
2026-02-18T02:05:30.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.06,43.4375167,-70.3493833,0x429b27d9
2026-02-18T02:05:30.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.4375167,-70.3493833,0x429b27d9
2026-02-18T02:05:30.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.25,43.4375167,-70.3493833,0x429b27d9
2026-02-18T02:05:30.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,1.86,43.4375167,-70.3493833,0x429b27d9
2026-02-18T02:05:30.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,3.44,43.4375167,-70.3493833,0x429b27d9
2026-02-18T02:05:30.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,2.5,43.4375167,-70.3493833,0x429b27d9
2026-02-18T02:05:30.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.15,43.4375167,-70.3493833,0x429b27d9
2026-02-18T02:35:30.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,1.35,43.4375167,-70.3493833,0x429b27d9
2026-02-18T02:35:30.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.11,43.4375167,-70.3493833,0x429b27d9
2026-02-18T02:35:30.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,2.5,43.4375167,-70.3493833,0x429b27d9
2026-02-18T02:35:30.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,3.204,43.4375167,-70.3493833,0x429b27d9
2026-02-18T02:35:30.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,2.58,43.4375167,-70.3493833,0x429b27d9
